idRule,count_Ant,sup_Antec,count_Cons,sup_Cons,count_Rule,sup_Rule,conf_Rule,state
0,25,0.002672082086361693,159,0.016994442069260367,10,0.0010688328345446773,0.4,Not supported
1,1802,0.19260367678495083,25,0.002672082086361693,0,0.0,0.0,Not supported
2,1802,0.19260367678495083,367,0.03922616502778965,341,0.036447199657973495,0.18923418423973362,Not supported
3,25,0.002672082086361693,1190,0.1271911073108166,21,0.0022445489525438223,0.84,Not supported
4,21,0.0022445489525438223,542,0.0579307396323215,0,0.0,0.0,Not supported
5,22,0.00235143223599829,7093,0.7581231295425396,22,0.00235143223599829,1.0,Not supported
6,6671,0.7130183839247541,1190,0.1271911073108166,1190,0.1271911073108166,0.1783840503672613,Not confident
7,1,0.00010688328345446772,450,0.04809747755451047,1,0.00010688328345446772,1.0,Not supported
8,7093,0.7581231295425396,6179,0.660431808465156,5563,0.5945917058572039,0.7842943747356549,Not confident
9,18,0.001923899102180419,8252,0.8820008550662677,18,0.001923899102180419,1.0,Not supported
10,1802,0.19260367678495083,6671,0.7130183839247541,524,0.056006840530141086,0.290788013318535,Not confident
11,74,0.00790936297563061,2770,0.29606669516887557,0,0.0,0.0,Not supported
12,549,0.05867892261650278,90,0.009619495510902095,0,0.0,0.0,Not supported
13,1861,0.19890979050876442,542,0.0579307396323215,141,0.015070542967079948,0.07576571735626007,Not supported
14,1802,0.19260367678495083,8429,0.9009191962377084,1358,0.14514749893116716,0.753607103218646,Not confident
15,1048,0.11201368106028217,2770,0.29606669516887557,0,0.0,0.0,Not supported
16,74,0.00790936297563061,6503,0.6950619923044036,0,0.0,0.0,Not supported
17,1048,0.11201368106028217,7530,0.804831124412142,336,0.03591278324070116,0.32061068702290074,Not supported
18,48,0.005130397605814451,6404,0.6844805472424113,48,0.005130397605814451,1.0,Not supported
19,0,0.0,1190,0.1271911073108166,0,0.0,0.0,Not supported
20,1802,0.19260367678495083,8814,0.9420692603676785,1640,0.17528858486532706,0.9100998890122086,Confident
21,6671,0.7130183839247541,158,0.0168875587858059,158,0.0168875587858059,0.023684605006745615,Not supported
22,25,0.002672082086361693,6454,0.6898247114151347,22,0.00235143223599829,0.88,Not supported
23,1190,0.1271911073108166,119,0.01271911073108166,0,0.0,0.0,Not supported
24,1279,0.1367037195382642,6,0.0006412997007268063,0,0.0,0.0,Not supported
25,21,0.0022445489525438223,479,0.05119709277469004,0,0.0,0.0,Not supported
26,1048,0.11201368106028217,8429,0.9009191962377084,672,0.07182556648140231,0.6412213740458015,Not confident
27,2770,0.29606669516887557,3306,0.35335613510047026,1972,0.21077383497221033,0.711913357400722,Not confident
28,1863,0.19912355707567336,542,0.0579307396323215,141,0.015070542967079948,0.07568438003220612,Not supported
29,212,0.022659256092347157,6454,0.6898247114151347,153,0.016353142368533562,0.7216981132075472,Not supported
30,217,0.023193672509619494,6404,0.6844805472424113,215,0.02297990594271056,0.9907834101382489,Not supported
31,0,0.0,113,0.012077811030354853,0,0.0,0.0,Not supported
32,0,0.0,159,0.016994442069260367,0,0.0,0.0,Not supported
33,549,0.05867892261650278,7737,0.8269559640872167,129,0.013787943565626336,0.23497267759562843,Not supported
34,217,0.023193672509619494,40,0.004275331338178709,0,0.0,0.0,Not supported
35,1521,0.1625694741342454,3344,0.35741769987174005,236,0.02522445489525438,0.15516107823800132,Not supported
36,1608,0.1718683197947841,907,0.09694313809320222,670,0.07161179991449337,0.4166666666666667,Not confident
37,6403,0.6843736639589568,1323,0.1414065840102608,1323,0.1414065840102608,0.20662189598625644,Not confident
38,549,0.05867892261650278,8107,0.8665027789653699,191,0.020414707139803336,0.34790528233151186,Not supported
39,2770,0.29606669516887557,3417,0.3652201795639162,1988,0.21248396750748183,0.7176895306859206,Not confident
40,6671,0.7130183839247541,7114,0.7603676784950834,6413,0.6854424967935014,0.9613251386598711,Confident
41,223,0.023834972210346302,5887,0.6292218896964514,128,0.013681060282171868,0.5739910313901345,Not supported
42,1474,0.15754595981188543,7093,0.7581231295425396,1474,0.15754595981188543,1.0,Confident
43,25,0.002672082086361693,217,0.023193672509619494,0,0.0,0.0,Not supported
44,4652,0.49722103463018386,542,0.0579307396323215,397,0.042432663531423685,0.0853396388650043,Not supported
45,7559,0.8079307396323215,4,0.00042753313381787086,4,0.00042753313381787086,0.0005291705252017463,Not supported
46,159,0.016994442069260367,5148,0.5502351432235998,158,0.0168875587858059,0.9937106918238994,Not supported
47,217,0.023193672509619494,6697,0.7157973492945703,217,0.023193672509619494,1.0,Not supported
48,8429,0.9009191962377084,158,0.0168875587858059,158,0.0168875587858059,0.018744809585953256,Not supported
49,76,0.008123129542539546,0,0.0,0,0.0,0.0,Not supported
50,2693,0.28783668234288157,542,0.0579307396323215,134,0.014322359982898675,0.049758633494244336,Not supported
51,2770,0.29606669516887557,159,0.016994442069260367,156,0.016673792218896963,0.05631768953068592,Not supported
52,25,0.002672082086361693,7538,0.8056861906797776,22,0.00235143223599829,0.88,Not supported
53,465,0.04970072680632749,7093,0.7581231295425396,465,0.04970072680632749,1.0,Not supported
54,604,0.0645575032064985,7538,0.8056861906797776,604,0.0645575032064985,1.0,Confident
55,55,0.005878580589995725,1647,0.17603676784950834,55,0.005878580589995725,1.0,Not supported
56,0,0.0,6179,0.660431808465156,0,0.0,0.0,Not supported
57,457,0.04884566053869175,1190,0.1271911073108166,325,0.03473706712270201,0.7111597374179431,Not supported
58,1202,0.1284737067122702,6090,0.6509191962377084,630,0.06733646857631466,0.5241264559068219,Not confident
