idRule,count_Ant,sup_Antec,count_Cons,sup_Cons,count_Rule,sup_Rule,conf_Rule,state
0,1802,0.19260367678495083,367,0.03922616502778965,341,0.036447199657973495,0.18923418423973362,Not supported
1,868,0.09277469003847798,17,0.0018170158187259514,9,0.0009619495510902095,0.010368663594470046,Not supported
2,1802,0.19260367678495083,25,0.002672082086361693,0,0.0,0.0,Not supported
3,40,0.004275331338178709,542,0.0579307396323215,0,0.0,0.0,Not supported
4,159,0.016994442069260367,0,0.0,0,0.0,0.0,Not supported
5,40,0.004275331338178709,6404,0.6844805472424113,0,0.0,0.0,Not supported
6,1802,0.19260367678495083,1079,0.11532706284737067,599,0.06402308678922616,0.33240843507214207,Not confident
7,2693,0.28783668234288157,40,0.004275331338178709,6,0.0006412997007268063,0.0022279985146676567,Not supported
8,2,0.00021376656690893543,378,0.0404018811457888,0,0.0,0.0,Not supported
9,40,0.004275331338178709,367,0.03922616502778965,8,0.0008550662676357417,0.2,Not supported
10,40,0.004275331338178709,868,0.09277469003847798,38,0.004061564771269773,0.95,Not supported
11,17,0.0018170158187259514,220,0.0235143223599829,0,0.0,0.0,Not supported
12,2,0.00021376656690893543,217,0.023193672509619494,0,0.0,0.0,Not supported
13,0,0.0,542,0.0579307396323215,0,0.0,0.0,Not supported
14,7093,0.7581231295425396,1190,0.1271911073108166,1190,0.1271911073108166,0.16777104187226843,Not confident
15,159,0.016994442069260367,17,0.0018170158187259514,0,0.0,0.0,Not supported
16,2693,0.28783668234288157,17,0.0018170158187259514,0,0.0,0.0,Not supported
17,6,0.0006412997007268063,1079,0.11532706284737067,3,0.0003206498503634032,0.5,Not supported
18,868,0.09277469003847798,2693,0.28783668234288157,65,0.0069474134245404015,0.0748847926267281,Not supported
19,1190,0.1271911073108166,17,0.0018170158187259514,0,0.0,0.0,Not supported
20,98,0.010474561778537837,542,0.0579307396323215,0,0.0,0.0,Not supported
21,217,0.023193672509619494,0,0.0,0,0.0,0.0,Not supported
22,11,0.001175716117999145,17,0.0018170158187259514,1,0.00010688328345446772,0.09090909090909091,Not supported
23,2658,0.2840957674219752,1190,0.1271911073108166,875,0.09352287302265926,0.3291948833709556,Not confident
24,1802,0.19260367678495083,6404,0.6844805472424113,1154,0.12334330910645575,0.6403995560488346,Not confident
25,631,0.06744335185976913,868,0.09277469003847798,7,0.000748182984181274,0.011093502377179081,Not supported
26,217,0.023193672509619494,17,0.0018170158187259514,8,0.0008550662676357417,0.03686635944700461,Not supported
27,2,0.00021376656690893543,542,0.0579307396323215,0,0.0,0.0,Not supported
28,217,0.023193672509619494,0,0.0,0,0.0,0.0,Not supported
29,542,0.0579307396323215,0,0.0,0,0.0,0.0,Not supported
30,4,0.00042753313381787086,4828,0.5160324925181702,0,0.0,0.0,Not supported
31,492,0.05258657545959812,1079,0.11532706284737067,0,0.0,0.0,Not supported
32,220,0.0235143223599829,1190,0.1271911073108166,197,0.02105600684053014,0.8954545454545455,Not supported
33,134,0.014322359982898675,1190,0.1271911073108166,96,0.010260795211628902,0.7164179104477612,Not supported
34,0,0.0,1802,0.19260367678495083,0,0.0,0.0,Not supported
35,0,0.0,257,0.027469003847798205,0,0.0,0.0,Not supported
36,6404,0.6844805472424113,0,0.0,0,0.0,0.0,Not supported
37,1079,0.11532706284737067,217,0.023193672509619494,15,0.0016032492518170158,0.013901760889712697,Not supported
38,1154,0.12334330910645575,176,0.01881145788798632,21,0.0022445489525438223,0.018197573656845753,Not supported
39,123,0.01314664386489953,1190,0.1271911073108166,0,0.0,0.0,Not supported
40,7093,0.7581231295425396,40,0.004275331338178709,7,0.000748182984181274,0.000986888481601579,Not supported
41,378,0.0404018811457888,2693,0.28783668234288157,1,0.00010688328345446772,0.0026455026455026454,Not supported
42,1,0.00010688328345446772,1190,0.1271911073108166,0,0.0,0.0,Not supported
43,159,0.016994442069260367,6179,0.660431808465156,119,0.01271911073108166,0.7484276729559748,Not supported
44,542,0.0579307396323215,17,0.0018170158187259514,0,0.0,0.0,Not supported
45,257,0.027469003847798205,1190,0.1271911073108166,226,0.024155622060709706,0.8793774319066148,Not supported
46,6179,0.660431808465156,40,0.004275331338178709,6,0.0006412997007268063,0.0009710309111506716,Not supported
47,215,0.02297990594271056,257,0.027469003847798205,0,0.0,0.0,Not supported
48,25,0.002672082086361693,217,0.023193672509619494,0,0.0,0.0,Not supported
49,2,0.00021376656690893543,7093,0.7581231295425396,1,0.00010688328345446772,0.5,Not supported
50,0,0.0,40,0.004275331338178709,0,0.0,0.0,Not supported
51,5563,0.5945917058572039,1190,0.1271911073108166,909,0.09715690466011116,0.1634010426029121,Not confident
52,159,0.016994442069260367,58,0.006199230440359128,0,0.0,0.0,Not supported
53,25,0.002672082086361693,0,0.0,0,0.0,0.0,Not supported
54,158,0.0168875587858059,1190,0.1271911073108166,133,0.014215476699444207,0.8417721518987342,Not supported
55,631,0.06744335185976913,159,0.016994442069260367,2,0.00021376656690893543,0.003169572107765452,Not supported
56,6404,0.6844805472424113,45,0.004809747755451048,45,0.004809747755451048,0.0070268582136164895,Not supported
57,17,0.0018170158187259514,0,0.0,0,0.0,0.0,Not supported
58,1154,0.12334330910645575,91,0.009726378794356562,6,0.0006412997007268063,0.005199306759098787,Not supported
59,10,0.0010688328345446773,82,0.008764429243266354,0,0.0,0.0,Not supported
60,868,0.09277469003847798,217,0.023193672509619494,0,0.0,0.0,Not supported
61,1190,0.1271911073108166,159,0.016994442069260367,133,0.014215476699444207,0.11176470588235295,Not supported
